quantity,label,selection_frequency
edge,1-2,0.26
edge,1-3,0.44
edge,1-4,0.365
edge,1-5,1.0
edge,1-6,0.205
edge,1-7,0.04
edge,1-8,0.92
edge,1-9,0.185
edge,1-10,0.955
edge,1-11,0.34
edge,1-12,0.31
edge,2-3,0.155
edge,2-4,0.165
edge,2-5,0.365
edge,2-6,0.15
edge,2-7,1.0
edge,2-8,0.24
edge,2-9,1.0
edge,2-10,0.315
edge,2-11,0.86
edge,2-12,0.435
edge,3-4,0.24
edge,3-5,0.48
edge,3-6,1.0
edge,3-7,0.265
edge,3-8,0.98
edge,3-9,0.205
edge,3-10,0.165
edge,3-11,0.2
edge,3-12,0.185
edge,4-5,0.13
edge,4-6,0.2
edge,4-7,0.97
edge,4-8,0.345
edge,4-9,0.29
edge,4-10,0.42
edge,4-11,0.25
edge,4-12,0.965
edge,5-6,0.18
edge,5-7,0.48
edge,5-8,0.335
edge,5-9,0.24
edge,5-10,0.195
edge,5-11,0.08
edge,5-12,0.49
edge,6-7,0.415
edge,6-8,0.43
edge,6-9,0.38
edge,6-10,0.995
edge,6-11,0.315
edge,6-12,0.295
edge,7-8,0.415
edge,7-9,0.96
edge,7-10,0.68
edge,7-11,0.995
edge,7-12,0.4
edge,8-9,0.145
edge,8-10,0.135
edge,8-11,0.155
edge,8-12,0.175
edge,9-10,0.225
edge,9-11,0.695
edge,9-12,0.99
edge,10-11,0.175
edge,10-12,0.185
edge,11-12,0.185
edge_symmetry,1-2,0.205
edge_symmetry,1-3,0.01
edge_symmetry,1-4,0.24
edge_symmetry,1-5,0.925
edge_symmetry,1-6,0.09
edge_symmetry,2-3,0.07
edge_symmetry,2-4,0.065
edge_symmetry,2-5,0.085
edge_symmetry,2-6,0.05
edge_symmetry,3-4,0.085
edge_symmetry,3-5,0.045
edge_symmetry,3-6,0.86
edge_symmetry,4-5,0.015
edge_symmetry,4-6,0.145
edge_symmetry,5-6,0.065
edge_symmetry,1-8,0.065
edge_symmetry,1-9,0.1
edge_symmetry,1-10,0.86
edge_symmetry,1-11,0.085
edge_symmetry,1-12,0.055
edge_symmetry,2-7,0.0
edge_symmetry,2-9,0.25
edge_symmetry,2-10,0.1
edge_symmetry,2-11,0.015
edge_symmetry,2-12,0.36
edge_symmetry,3-7,0.0
edge_symmetry,3-8,0.0
edge_symmetry,3-10,0.095
edge_symmetry,3-11,0.17
edge_symmetry,3-12,0.085
edge_symmetry,4-7,0.0
edge_symmetry,4-8,0.0
edge_symmetry,4-9,0.0
edge_symmetry,4-11,0.135
edge_symmetry,4-12,0.95
edge_symmetry,5-7,0.0
edge_symmetry,5-8,0.0
edge_symmetry,5-9,0.0
edge_symmetry,5-10,0.0
edge_symmetry,5-12,0.065
edge_symmetry,6-7,0.0
edge_symmetry,6-8,0.0
edge_symmetry,6-9,0.0
edge_symmetry,6-10,0.0
edge_symmetry,6-11,0.0
vertex_symmetry,1,0.415
vertex_symmetry,2,0.235
vertex_symmetry,3,0.655
vertex_symmetry,4,0.86
vertex_symmetry,5,0.945
vertex_symmetry,6,0.92
