quantity,label,selection_frequency
edge,1-2,0.365
edge,1-3,0.115
edge,1-4,0.28
edge,1-5,0.455
edge,1-6,0.65
edge,1-7,0.57
edge,1-8,0.26
edge,1-9,0.39
edge,1-10,0.425
edge,1-11,0.675
edge,1-12,0.59
edge,2-3,0.375
edge,2-4,0.36
edge,2-5,0.195
edge,2-6,0.36
edge,2-7,0.605
edge,2-8,0.08
edge,2-9,0.66
edge,2-10,0.49
edge,2-11,0.765
edge,2-12,0.81
edge,3-4,0.695
edge,3-5,0.13
edge,3-6,0.995
edge,3-7,0.69
edge,3-8,0.955
edge,3-9,0.34
edge,3-10,0.185
edge,3-11,0.18
edge,3-12,0.225
edge,4-5,0.92
edge,4-6,0.775
edge,4-7,0.845
edge,4-8,0.795
edge,4-9,0.42
edge,4-10,0.545
edge,4-11,0.25
edge,4-12,0.685
edge,5-6,0.24
edge,5-7,0.8
edge,5-8,0.985
edge,5-9,0.295
edge,5-10,0.255
edge,5-11,0.2
edge,5-12,0.175
edge,6-7,0.645
edge,6-8,0.595
edge,6-9,0.37
edge,6-10,1.0
edge,6-11,0.185
edge,6-12,0.065
edge,7-8,0.575
edge,7-9,0.19
edge,7-10,0.69
edge,7-11,0.435
edge,7-12,0.415
edge,8-9,0.975
edge,8-10,0.835
edge,8-11,0.225
edge,8-12,0.305
edge,9-10,0.38
edge,9-11,0.145
edge,9-12,0.99
edge,10-11,0.96
edge,10-12,0.26
edge,11-12,0.19
edge_symmetry,1-2,0.32
edge_symmetry,1-3,0.035
edge_symmetry,1-4,0.065
edge_symmetry,1-5,0.39
edge_symmetry,1-6,0.37
edge_symmetry,2-3,0.28
edge_symmetry,2-4,0.32
edge_symmetry,2-5,0.155
edge_symmetry,2-6,0.26
edge_symmetry,3-4,0.16
edge_symmetry,3-5,0.07
edge_symmetry,3-6,0.835
edge_symmetry,4-5,0.85
edge_symmetry,4-6,0.095
edge_symmetry,5-6,0.1
edge_symmetry,1-8,0.215
edge_symmetry,1-9,0.06
edge_symmetry,1-10,0.38
edge_symmetry,1-11,0.595
edge_symmetry,1-12,0.015
edge_symmetry,2-7,0.0
edge_symmetry,2-9,0.615
edge_symmetry,2-10,0.045
edge_symmetry,2-11,0.66
edge_symmetry,2-12,0.055
edge_symmetry,3-7,0.0
edge_symmetry,3-8,0.0
edge_symmetry,3-10,0.105
edge_symmetry,3-11,0.12
edge_symmetry,3-12,0.125
edge_symmetry,4-7,0.0
edge_symmetry,4-8,0.0
edge_symmetry,4-9,0.0
edge_symmetry,4-11,0.19
edge_symmetry,4-12,0.03
edge_symmetry,5-7,0.0
edge_symmetry,5-8,0.0
edge_symmetry,5-9,0.0
edge_symmetry,5-10,0.0
edge_symmetry,5-12,0.07
edge_symmetry,6-7,0.0
edge_symmetry,6-8,0.0
edge_symmetry,6-9,0.0
edge_symmetry,6-10,0.0
edge_symmetry,6-11,0.0
vertex_symmetry,1,0.81
vertex_symmetry,2,0.935
vertex_symmetry,3,0.92
vertex_symmetry,4,0.38
vertex_symmetry,5,0.635
vertex_symmetry,6,0.39
