quantity,label,selection_frequency
edge,1-2,0.49
edge,1-3,0.495
edge,1-4,0.15
edge,1-5,0.34
edge,1-6,0.25
edge,1-7,1.0
edge,1-8,0.695
edge,1-9,0.1
edge,1-10,0.425
edge,1-11,0.545
edge,1-12,0.33
edge,1-13,0.83
edge,1-14,0.96
edge,1-15,0.775
edge,1-16,0.355
edge,2-3,0.555
edge,2-4,0.5
edge,2-5,0.83
edge,2-6,0.385
edge,2-7,0.125
edge,2-8,0.285
edge,2-9,0.385
edge,2-10,0.09
edge,2-11,0.12
edge,2-12,0.17
edge,2-13,0.14
edge,2-14,0.935
edge,2-15,0.315
edge,2-16,0.215
edge,3-4,0.265
edge,3-5,0.21
edge,3-6,0.43
edge,3-7,0.74
edge,3-8,0.555
edge,3-9,0.62
edge,3-10,0.125
edge,3-11,0.085
edge,3-12,0.99
edge,3-13,0.27
edge,3-14,0.435
edge,3-15,0.39
edge,3-16,0.2
edge,4-5,0.295
edge,4-6,0.315
edge,4-7,0.175
edge,4-8,0.425
edge,4-9,0.19
edge,4-10,0.195
edge,4-11,0.93
edge,4-12,0.775
edge,4-13,0.935
edge,4-14,0.275
edge,4-15,0.25
edge,4-16,0.135
edge,5-6,0.27
edge,5-7,0.335
edge,5-8,0.415
edge,5-9,0.645
edge,5-10,0.18
edge,5-11,0.515
edge,5-12,0.635
edge,5-13,0.135
edge,5-14,0.115
edge,5-15,0.39
edge,5-16,0.76
edge,6-7,0.52
edge,6-8,0.59
edge,6-9,0.865
edge,6-10,0.39
edge,6-11,0.51
edge,6-12,0.18
edge,6-13,0.1
edge,6-14,0.39
edge,6-15,0.155
edge,6-16,0.58
edge,7-8,0.525
edge,7-9,0.425
edge,7-10,0.28
edge,7-11,0.335
edge,7-12,0.13
edge,7-13,0.41
edge,7-14,0.175
edge,7-15,0.185
edge,7-16,0.17
edge,8-9,0.425
edge,8-10,0.43
edge,8-11,0.255
edge,8-12,0.245
edge,8-13,0.43
edge,8-14,0.84
edge,8-15,0.145
edge,8-16,0.52
edge,9-10,0.67
edge,9-11,0.375
edge,9-12,0.19
edge,9-13,0.15
edge,9-14,0.35
edge,9-15,0.6
edge,9-16,0.315
edge,10-11,0.64
edge,10-12,0.285
edge,10-13,0.745
edge,10-14,0.285
edge,10-15,0.135
edge,10-16,0.95
edge,11-12,0.725
edge,11-13,0.21
edge,11-14,0.99
edge,11-15,0.64
edge,11-16,0.645
edge,12-13,0.43
edge,12-14,0.835
edge,12-15,0.145
edge,12-16,0.955
edge,13-14,0.19
edge,13-15,0.195
edge,13-16,0.5
edge,14-15,0.405
edge,14-16,0.615
edge,15-16,0.425
edge_symmetry,1-2,0.46
edge_symmetry,1-3,0.295
edge_symmetry,1-4,0.08
edge_symmetry,1-5,0.065
edge_symmetry,1-6,0.14
edge_symmetry,1-7,0.015
edge_symmetry,1-8,0.17
edge_symmetry,2-3,0.525
edge_symmetry,2-4,0.2
edge_symmetry,2-5,0.69
edge_symmetry,2-6,0.13
edge_symmetry,2-7,0.075
edge_symmetry,2-8,0.16
edge_symmetry,3-4,0.09
edge_symmetry,3-5,0.145
edge_symmetry,3-6,0.265
edge_symmetry,3-7,0.58
edge_symmetry,3-8,0.475
edge_symmetry,4-5,0.255
edge_symmetry,4-6,0.05
edge_symmetry,4-7,0.065
edge_symmetry,4-8,0.315
edge_symmetry,5-6,0.1
edge_symmetry,5-7,0.05
edge_symmetry,5-8,0.355
edge_symmetry,6-7,0.255
edge_symmetry,6-8,0.54
edge_symmetry,7-8,0.405
edge_symmetry,1-10,0.31
edge_symmetry,1-11,0.485
edge_symmetry,1-12,0.145
edge_symmetry,1-13,0.585
edge_symmetry,1-14,0.75
edge_symmetry,1-15,0.385
edge_symmetry,1-16,0.135
edge_symmetry,2-9,0.0
edge_symmetry,2-11,0.05
edge_symmetry,2-12,0.065
edge_symmetry,2-13,0.055
edge_symmetry,2-14,0.305
edge_symmetry,2-15,0.095
edge_symmetry,2-16,0.175
edge_symmetry,3-9,0.0
edge_symmetry,3-10,0.0
edge_symmetry,3-12,0.85
edge_symmetry,3-13,0.215
edge_symmetry,3-14,0.09
edge_symmetry,3-15,0.155
edge_symmetry,3-16,0.11
edge_symmetry,4-9,0.0
edge_symmetry,4-10,0.0
edge_symmetry,4-11,0.0
edge_symmetry,4-13,0.585
edge_symmetry,4-14,0.11
edge_symmetry,4-15,0.08
edge_symmetry,4-16,0.065
edge_symmetry,5-9,0.0
edge_symmetry,5-10,0.0
edge_symmetry,5-11,0.0
edge_symmetry,5-12,0.0
edge_symmetry,5-14,0.04
edge_symmetry,5-15,0.065
edge_symmetry,5-16,0.305
edge_symmetry,6-9,0.0
edge_symmetry,6-10,0.0
edge_symmetry,6-11,0.0
edge_symmetry,6-12,0.0
edge_symmetry,6-13,0.0
edge_symmetry,6-15,0.105
edge_symmetry,6-16,0.545
edge_symmetry,7-9,0.0
edge_symmetry,7-10,0.0
edge_symmetry,7-11,0.0
edge_symmetry,7-12,0.0
edge_symmetry,7-13,0.0
edge_symmetry,7-14,0.0
edge_symmetry,7-16,0.115
edge_symmetry,8-9,0.0
edge_symmetry,8-10,0.0
edge_symmetry,8-11,0.0
edge_symmetry,8-12,0.0
edge_symmetry,8-13,0.0
edge_symmetry,8-14,0.0
edge_symmetry,8-15,0.0
vertex_symmetry,1,0.11
vertex_symmetry,2,0.905
vertex_symmetry,3,0.52
vertex_symmetry,4,0.885
vertex_symmetry,5,0.855
vertex_symmetry,6,0.415
vertex_symmetry,7,0.695
vertex_symmetry,8,0.875
