quantity,label,selection_frequency
edge,1-2,0.605
edge,1-3,0.305
edge,1-4,0.24
edge,1-5,0.32
edge,1-6,0.27
edge,1-7,1.0
edge,1-8,0.24
edge,1-9,0.25
edge,1-10,0.695
edge,1-11,0.235
edge,1-12,0.21
edge,1-13,0.295
edge,1-14,0.255
edge,1-15,0.245
edge,1-16,0.35
edge,2-3,0.795
edge,2-4,0.145
edge,2-5,0.89
edge,2-6,0.38
edge,2-7,0.28
edge,2-8,0.395
edge,2-9,0.995
edge,2-10,0.33
edge,2-11,0.815
edge,2-12,0.24
edge,2-13,0.245
edge,2-14,0.17
edge,2-15,0.535
edge,2-16,0.16
edge,3-4,0.42
edge,3-5,0.375
edge,3-6,0.795
edge,3-7,0.455
edge,3-8,0.385
edge,3-9,0.2
edge,3-10,0.9
edge,3-11,0.095
edge,3-12,1.0
edge,3-13,0.21
edge,3-14,0.24
edge,3-15,0.385
edge,3-16,0.435
edge,4-5,0.195
edge,4-6,0.22
edge,4-7,0.285
edge,4-8,0.41
edge,4-9,0.175
edge,4-10,0.49
edge,4-11,0.96
edge,4-12,0.775
edge,4-13,0.13
edge,4-14,0.105
edge,4-15,0.975
edge,4-16,0.59
edge,5-6,0.195
edge,5-7,0.15
edge,5-8,0.52
edge,5-9,0.34
edge,5-10,0.335
edge,5-11,0.255
edge,5-12,0.155
edge,5-13,0.15
edge,5-14,0.18
edge,5-15,0.18
edge,5-16,0.885
edge,6-7,0.145
edge,6-8,0.45
edge,6-9,0.56
edge,6-10,0.165
edge,6-11,0.27
edge,6-12,0.17
edge,6-13,0.155
edge,6-14,0.115
edge,6-15,0.65
edge,6-16,0.88
edge,7-8,0.84
edge,7-9,0.865
edge,7-10,0.56
edge,7-11,0.5
edge,7-12,0.26
edge,7-13,0.19
edge,7-14,0.8
edge,7-15,0.19
edge,7-16,0.18
edge,8-9,0.355
edge,8-10,0.155
edge,8-11,0.975
edge,8-12,0.685
edge,8-13,1.0
edge,8-14,0.9
edge,8-15,0.53
edge,8-16,0.095
edge,9-10,0.915
edge,9-11,0.185
edge,9-12,0.24
edge,9-13,0.585
edge,9-14,0.49
edge,9-15,0.995
edge,9-16,0.18
edge,10-11,0.925
edge,10-12,0.13
edge,10-13,0.985
edge,10-14,0.375
edge,10-15,0.33
edge,10-16,0.39
edge,11-12,0.445
edge,11-13,0.7
edge,11-14,0.995
edge,11-15,0.46
edge,11-16,0.42
edge,12-13,0.28
edge,12-14,0.18
edge,12-15,0.25
edge,12-16,0.39
edge,13-14,0.205
edge,13-15,0.125
edge,13-16,0.295
edge,14-15,0.09
edge,14-16,0.525
edge,15-16,0.315
edge_symmetry,1-2,0.01
edge_symmetry,1-3,0.065
edge_symmetry,1-4,0.115
edge_symmetry,1-5,0.125
edge_symmetry,1-6,0.05
edge_symmetry,1-7,0.825
edge_symmetry,1-8,0.125
edge_symmetry,2-3,0.715
edge_symmetry,2-4,0.09
edge_symmetry,2-5,0.775
edge_symmetry,2-6,0.315
edge_symmetry,2-7,0.055
edge_symmetry,2-8,0.115
edge_symmetry,3-4,0.075
edge_symmetry,3-5,0.03
edge_symmetry,3-6,0.52
edge_symmetry,3-7,0.34
edge_symmetry,3-8,0.325
edge_symmetry,4-5,0.115
edge_symmetry,4-6,0.11
edge_symmetry,4-7,0.195
edge_symmetry,4-8,0.05
edge_symmetry,5-6,0.145
edge_symmetry,5-7,0.055
edge_symmetry,5-8,0.255
edge_symmetry,6-7,0.05
edge_symmetry,6-8,0.355
edge_symmetry,7-8,0.05
edge_symmetry,1-10,0.405
edge_symmetry,1-11,0.065
edge_symmetry,1-12,0.085
edge_symmetry,1-13,0.22
edge_symmetry,1-14,0.12
edge_symmetry,1-15,0.115
edge_symmetry,1-16,0.3
edge_symmetry,2-9,0.0
edge_symmetry,2-11,0.745
edge_symmetry,2-12,0.09
edge_symmetry,2-13,0.075
edge_symmetry,2-14,0.04
edge_symmetry,2-15,0.015
edge_symmetry,2-16,0.09
edge_symmetry,3-9,0.0
edge_symmetry,3-10,0.0
edge_symmetry,3-12,0.835
edge_symmetry,3-13,0.075
edge_symmetry,3-14,0.055
edge_symmetry,3-15,0.035
edge_symmetry,3-16,0.235
edge_symmetry,4-9,0.0
edge_symmetry,4-10,0.0
edge_symmetry,4-11,0.0
edge_symmetry,4-13,0.065
edge_symmetry,4-14,0.055
edge_symmetry,4-15,0.03
edge_symmetry,4-16,0.02
edge_symmetry,5-9,0.0
edge_symmetry,5-10,0.0
edge_symmetry,5-11,0.0
edge_symmetry,5-12,0.0
edge_symmetry,5-14,0.1
edge_symmetry,5-15,0.105
edge_symmetry,5-16,0.29
edge_symmetry,6-9,0.0
edge_symmetry,6-10,0.0
edge_symmetry,6-11,0.0
edge_symmetry,6-12,0.0
edge_symmetry,6-13,0.0
edge_symmetry,6-15,0.02
edge_symmetry,6-16,0.805
edge_symmetry,7-9,0.0
edge_symmetry,7-10,0.0
edge_symmetry,7-11,0.0
edge_symmetry,7-12,0.0
edge_symmetry,7-13,0.0
edge_symmetry,7-14,0.0
edge_symmetry,7-16,0.125
edge_symmetry,8-9,0.0
edge_symmetry,8-10,0.0
edge_symmetry,8-11,0.0
edge_symmetry,8-12,0.0
edge_symmetry,8-13,0.0
edge_symmetry,8-14,0.0
edge_symmetry,8-15,0.0
vertex_symmetry,1,0.725
vertex_symmetry,2,0.78
vertex_symmetry,3,0.25
vertex_symmetry,4,0.81
vertex_symmetry,5,0.87
vertex_symmetry,6,0.92
vertex_symmetry,7,0.55
vertex_symmetry,8,0.08
